DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/10/10,7,66,49,46,23,137,101,30
2017/10/11,6,73,67,39,19,116,99,43
2017/10/12,8,55,67,44,24,112,92,35
2017/10/13,7,69,55,34,18,121,82,29
2017/10/14,7,37,45,21,4,55,60,19
2017/10/15,1,33,44,10,7,32,33,22
2017/10/16,3,58,54,33,16,84,86,38
2017/10/17,3,77,55,61,18,131,114,49
2017/10/18,4,55,50,46,21,93,94,42
2017/10/19,7,75,56,45,20,122,106,45
2017/10/20,7,75,52,34,17,119,95,32
2017/10/21,1,39,35,27,15,69,58,16
2017/10/22,2,34,25,16,6,42,37,8
2017/10/23,1,71,64,41,22,126,108,31
2017/10/24,6,55,53,44,25,118,103,43
2017/10/25,14,84,57,48,20,130,97,68
2017/10/26,9,78,53,46,22,116,105,49
2017/10/27,5,51,50,39,27,136,98,35
2017/10/28,4,45,35,20,9,84,61,23
2017/10/29,1,37,36,20,5,36,39,26
2017/10/30,2,30,36,32,23,87,65,33
2017/10/31,9,68,56,48,27,122,100,44
2017/11/01,4,85,54,83,35,140,125,47
2017/11/02,13,70,42,58,24,140,113,47
2017/11/03,8,61,50,41,10,122,106,43
2017/11/04,4,36,33,14,12,71,55,15
2017/11/05,2,19,20,17,3,43,45,18
2017/11/06,1,43,34,39,8,67,75,33
2019/02/19,0,0,0,3,2,4,4,0
2019/02/20,1,4,4,2,3,7,4,4
2019/02/21,0,0,1,4,5,6,9,7
2019/02/22,2,7,3,4,1,5,7,7
2019/02/23,0,0,0,1,1,1,1,2
2019/02/24,0,3,0,2,3,1,3,0
2019/02/25,0,4,4,4,3,1,5,5
2019/02/26,0,4,2,4,0,2,5,3
2019/02/27,1,3,2,3,2,2,6,2
2019/02/28,1,3,1,1,2,4,6,5
2019/03/01,0,5,7,8,1,6,10,7
2019/03/02,0,2,1,1,0,3,3,2
2019/03/03,0,2,2,1,1,3,2,5
2019/03/04,1,6,3,5,5,6,8,9
2019/03/05,0,3,4,5,4,4,10,4
2019/03/06,0,6,3,7,2,9,8,4
2019/03/07,0,1,2,2,0,3,1,2
2019/03/08,2,9,3,3,2,6,8,4
2019/03/09,0,5,3,1,0,3,7,0
2019/03/10,2,4,3,4,2,4,5,3
2019/03/11,0,0,5,3,2,3,8,3
2019/03/12,0,2,2,3,0,3,3,3
2019/03/13,0,1,1,6,2,6,9,4
2019/03/14,2,2,2,5,1,4,5,5
2019/03/15,0,6,6,2,0,5,7,1
2019/03/16,0,4,4,1,2,6,8,5
2019/03/17,0,4,1,5,3,2,5,2
2019/03/18,3,3,4,10,2,6,10,10
2019/03/19,1,1,4,5,1,6,11,10
2019/03/20,2,3,2,5,2,8,6,7
2019/03/21,1,9,4,7,1,11,12,10
2019/03/22,0,2,3,3,0,2,7,5
2019/03/23,0,1,1,3,1,6,4,2
2019/03/24,0,6,1,3,2,2,4,3
2019/03/25,1,4,2,4,1,3,4,6
2019/03/26,1,5,3,8,3,3,9,14
2019/03/27,1,6,5,5,2,9,10,8
2019/03/28,2,4,4,3,3,5,6,10
2019/03/29,1,3,3,2,3,4,4,8
2019/03/30,0,3,2,2,1,4,4,2
2019/03/31,1,3,2,4,1,4,6,4
2019/04/01,1,5,5,5,2,3,7,4
2019/04/02,1,8,4,2,3,9,5,8
2019/04/03,1,6,1,3,3,1,4,1
2019/04/04,0,5,5,7,2,4,9,8
2019/04/05,0,4,1,4,1,3,4,4
2019/04/06,1,1,3,4,1,3,5,1
2019/04/07,0,3,3,4,4,3,5,3
2019/04/08,0,2,3,10,2,3,5,4
2019/04/09,0,8,7,7,8,8,14,10
2019/04/10,0,5,4,4,4,4,4,9
2016/10/31,3,14,12,5,7,42,23,29
2016/11/01,5,66,49,47,26,152,109,108
2016/11/02,13,72,80,43,23,166,125,134
2016/11/03,7,61,39,33,16,122,68,87
2016/11/04,11,37,36,22,23,119,73,87
