DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2019/05/29,1,31,41,17,3,38,60,33
2019/05/30,10,30,24,31,13,45,56,37
2019/05/31,4,65,24,40,16,38,64,30
2019/06/01,2,24,15,26,5,20,47,13
2019/06/02,2,16,8,13,4,10,28,15
2019/06/03,1,45,18,24,15,28,52,17
2019/06/04,0,48,32,33,8,40,62,20
2019/06/05,6,53,29,33,25,29,74,31
2019/06/06,1,47,28,24,19,37,67,21
2019/06/07,2,32,21,25,13,41,54,23
2019/06/08,1,29,16,11,6,29,37,12
2019/06/09,3,19,11,13,13,24,30,11
2019/06/10,2,40,26,18,17,33,42,11
2019/06/11,5,37,29,29,16,28,47,20
2019/06/12,1,42,35,30,13,37,68,23
2019/06/13,3,39,31,22,16,38,66,22
2019/06/14,3,35,29,21,15,28,46,18
2019/06/15,3,19,19,16,8,20,26,9
2019/06/16,2,18,23,21,3,19,29,12
2019/06/17,8,38,26,33,17,32,56,20
2019/06/18,5,52,37,33,20,31,60,15
2019/06/19,6,41,26,25,18,42,51,24
2019/06/20,12,34,30,28,22,37,69,14
2019/06/21,9,41,17,22,14,33,49,18
2019/06/22,1,19,15,11,6,14,25,12
2019/06/23,2,22,17,6,6,13,31,11
2019/06/24,0,60,34,17,7,30,42,19
2019/06/25,3,48,28,26,13,30,65,19
2019/06/26,1,48,35,23,10,33,56,32
2019/06/27,3,53,39,25,15,31,50,31
2019/06/28,3,43,39,23,23,37,48,27
2019/06/29,1,39,18,15,13,26,33,12
2019/06/30,0,24,12,10,19,15,30,10
2019/07/01,2,21,20,24,8,18,54,11
2019/07/02,2,40,27,26,15,19,48,17
2019/07/03,2,55,29,30,6,42,76,12
2019/07/04,0,50,30,22,15,20,61,12
2019/07/05,0,29,29,17,9,20,44,8
2019/07/06,0,25,26,11,12,7,11,9
2019/07/07,0,17,15,8,9,8,21,9
2019/07/08,3,39,36,20,8,25,31,22
2019/07/09,2,45,30,19,10,33,56,30
2019/07/10,0,45,32,19,12,29,53,12
2019/07/11,2,43,31,26,14,35,61,13
2019/07/12,0,54,50,23,16,31,54,16
2019/07/13,0,29,24,17,6,16,29,13
2019/07/14,0,26,9,14,7,17,21,7
2019/07/15,2,58,37,21,31,33,51,10
2019/07/16,3,63,32,32,37,41,49,33
2019/07/17,7,45,36,30,40,62,58,18
2019/07/18,4,32,29,32,29,44,62,17
2019/07/19,2,41,39,21,24,27,55,19
2019/07/20,3,19,14,12,12,24,29,7
2019/07/21,3,12,5,16,7,12,28,6
2019/07/22,2,26,27,15,12,24,35,11
2017/07/13,3,16,4,12,6,12,17,13
2017/07/14,0,35,21,43,7,29,59,31
2017/07/15,1,11,3,13,1,10,17,5
2017/07/16,0,19,4,12,2,9,22,12
2017/07/17,4,22,11,26,8,23,37,25
2017/07/18,5,20,11,22,8,9,33,23
2017/07/19,5,39,15,24,11,28,49,32
2017/07/20,4,29,14,22,14,19,52,29
2017/07/21,3,30,24,35,6,24,48,30
2017/07/22,3,15,14,17,6,15,28,13
2017/07/23,2,12,5,11,3,9,20,12
2017/07/24,5,32,17,31,1,28,40,29
