DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/01/26,0,49,26,25,8,35,45,20
2016/01/27,2,63,22,24,15,47,43,15
2016/01/28,2,44,18,26,14,37,39,19
2016/01/29,5,46,22,29,9,35,43,11
2016/01/30,0,22,16,9,7,18,15,5
2016/01/31,2,17,14,11,3,12,22,10
2016/02/01,3,46,22,19,10,35,36,12
2016/02/02,0,44,32,25,11,37,34,24
2016/02/03,0,34,22,25,9,35,44,16
2016/02/04,4,54,15,24,8,37,48,18
2016/02/05,1,49,26,28,6,42,46,18
2016/02/06,0,21,9,12,0,11,22,6
2016/02/07,1,24,19,13,3,18,28,10
2016/02/08,3,34,20,27,8,41,43,17
2016/02/09,8,33,19,24,9,36,46,16
2016/02/10,4,49,21,30,12,29,43,21
2016/02/11,3,35,30,32,6,38,50,18
2016/02/12,1,36,16,28,6,37,44,13
2016/02/13,0,21,12,10,2,13,18,5
2016/02/14,2,20,8,11,5,15,20,9
2016/02/15,1,33,12,26,7,35,42,17
2016/02/16,2,51,17,26,6,34,45,17
2016/02/17,5,54,16,25,12,38,53,10
2016/02/18,6,40,22,35,6,54,52,13
2016/02/19,6,50,19,25,5,43,48,19
2016/02/20,0,25,8,13,6,18,24,16
2016/02/21,2,20,11,13,4,13,31,15
2016/02/22,3,44,20,16,8,42,43,11
2016/02/23,1,41,21,26,12,36,40,26
2016/02/24,4,50,24,29,7,39,40,32
2016/02/25,3,33,13,22,14,29,49,17
2016/02/26,3,32,18,22,6,37,37,20
2016/02/27,0,22,8,11,6,14,15,19
2016/02/28,1,16,6,9,5,15,15,10
2016/02/29,3,53,21,19,13,38,38,20
2016/03/01,2,49,23,29,12,49,55,31
2016/03/02,5,43,19,20,7,34,47,27
2016/03/03,1,34,21,23,5,37,36,18
2016/03/04,4,37,26,26,7,32,43,23
2016/03/05,0,14,14,8,3,16,22,9
2016/03/06,0,14,8,6,2,16,24,14
2016/03/07,3,45,23,27,8,30,52,15
2016/03/08,0,45,10,31,11,44,47,23
2016/03/09,3,46,27,30,10,40,53,20
2016/03/10,2,50,25,33,3,43,41,19
2016/03/11,1,40,20,28,11,22,39,24
2016/03/12,1,18,13,14,1,21,30,15
2016/03/13,1,14,3,14,4,10,25,13
2016/03/14,1,30,17,24,8,22,34,20
2016/03/15,7,41,16,31,11,42,60,26
2016/03/16,2,44,21,25,8,39,38,27
2016/03/17,1,42,20,28,4,39,41,18
2016/03/18,3,44,17,16,4,36,39,12
2016/03/19,0,19,8,13,3,13,29,8
2016/03/20,2,12,7,10,3,15,20,5
2016/03/21,1,35,22,21,6,40,32,18
2016/03/22,3,43,20,35,9,26,43,22
2016/03/23,4,37,18,37,11,32,45,22
2016/03/24,4,28,13,31,5,32,44,14
2016/03/25,1,20,9,34,4,23,40,5
2016/03/26,2,16,12,19,4,16,32,7
2016/03/27,0,20,6,19,2,14,29,3
2016/03/28,0,12,9,15,1,16,33,6
2016/03/29,4,36,15,24,7,39,41,15
2016/03/30,3,34,17,25,9,35,50,28
2016/03/31,4,40,15,31,6,32,47,22
2016/04/01,1,30,13,25,8,29,43,16
2016/04/02,1,15,4,17,3,13,22,5
2016/04/03,1,15,4,11,0,18,23,3
2016/04/04,0,29,19,24,8,44,36,18
2016/04/05,3,35,15,21,8,35,41,23
2016/04/06,3,41,23,33,9,40,38,33
2016/04/07,6,35,15,24,13,41,37,23
2016/04/08,2,35,16,13,12,48,34,12
2016/04/09,1,25,6,9,2,17,23,10
2016/04/10,0,15,6,12,1,21,22,11
2016/04/11,4,55,16,28,8,37,44,18
2016/04/12,2,42,22,28,9,56,35,36
2016/04/13,8,50,31,23,17,44,53,33
2016/04/14,0,34,14,20,10,35,40,18
2016/04/15,0,5,3,1,0,6,5,3
2016/04/16,0,6,7,1,2,1,2,0
2016/04/17,0,3,5,1,0,0,1,0
2016/04/18,1,33,13,21,6,27,29,22
2016/04/19,1,58,31,25,11,39,50,30
2016/04/20,0,48,22,30,10,41,58,21
2016/04/21,4,35,23,27,5,39,55,28
2016/04/22,6,45,30,23,8,41,46,19
2016/04/23,0,19,9,5,4,7,15,9
2016/04/24,0,20,11,12,4,16,26,9
2016/04/25,2,43,16,21,9,25,47,16
2016/04/26,3,44,16,26,12,37,37,22
2016/04/27,1,33,18,24,6,34,46,33
2016/04/28,4,41,26,21,13,38,52,30
2016/04/29,1,38,19,27,12,32,45,32
2016/04/30,0,9,10,11,2,15,18,8
2016/05/01,2,18,5,14,3,13,23,13
2016/05/02,1,25,25,20,8,24,31,15
2016/05/03,4,38,24,31,13,48,43,37
2016/05/04,1,48,23,32,11,44,52,37
2016/05/05,3,53,27,23,15,69,46,61
2016/05/06,0,32,25,24,6,57,49,84
2016/05/07,1,22,8,13,7,20,26,28
2016/05/08,0,17,18,6,6,17,27,17
2016/05/09,2,47,20,26,15,42,53,29
2016/05/10,2,57,22,28,8,43,46,24
2016/05/11,1,44,29,25,13,33,49,22
2016/05/12,3,51,18,23,9,34,40,19
2016/05/13,4,45,20,23,10,38,43,17
2016/05/14,0,17,4,6,7,22,15,9
2016/05/15,0,13,6,10,4,20,25,8
2016/05/16,1,38,18,27,7,36,46,20
2016/05/17,3,46,20,22,9,40,47,17
2016/05/18,3,37,22,28,8,32,45,26
2016/05/19,4,46,21,25,3,27,36,26
2016/05/20,2,52,21,25,7,44,51,18
2016/05/21,0,27,14,14,5,23,26,8
2016/05/22,0,21,4,14,2,8,30,11
2016/05/23,1,47,18,27,7,30,55,26
2016/05/24,2,53,19,33,5,34,67,22
2016/05/25,1,50,26,17,8,39,50,31
2016/05/26,2,46,19,19,15,29,51,14
2016/05/27,0,58,16,20,7,31,49,21
2016/05/28,1,20,7,12,7,17,23,8
2016/05/29,0,23,7,11,4,11,18,6
2016/05/30,0,32,17,21,6,27,44,9
2016/05/31,4,42,23,20,8,33,53,17
2016/06/01,0,40,26,24,11,36,46,26
2016/06/02,1,43,19,32,10,29,46,18
2016/06/03,4,63,27,20,14,36,44,17
2016/06/04,0,21,5,5,3,10,11,8
2016/06/05,0,22,12,10,5,12,21,9
2016/06/06,5,31,15,26,5,33,34,17
2016/06/07,3,42,24,16,16,32,48,20
2016/06/08,6,51,14,22,9,37,42,27
2016/06/09,2,42,13,32,17,38,34,14
2016/06/10,3,35,17,29,7,35,38,18
2016/06/11,0,27,8,14,2,20,22,8
2016/06/12,0,18,8,14,15,12,21,7
2016/06/13,3,40,10,42,39,37,41,14
2016/06/14,3,36,18,38,30,32,39,16
2016/06/15,3,51,18,34,18,46,41,19
2016/06/16,1,46,11,35,16,40,55,28
2016/06/17,2,46,29,32,16,39,44,13
2016/06/18,0,18,5,7,6,29,23,4
2016/06/19,0,21,5,17,5,18,25,10
2016/06/20,4,59,23,34,9,49,49,25
2016/06/21,4,46,14,22,6,41,43,25
2016/06/22,3,43,15,25,5,31,44,31
2016/06/23,0,43,26,36,6,43,51,17
2016/06/24,2,47,19,11,10,12,31,69
2016/06/25,0,26,9,12,5,7,17,27
2016/06/26,2,22,7,15,7,9,21,18
2016/06/27,2,43,17,30,16,30,38,37
2016/06/28,3,48,16,31,11,31,40,27
2016/06/29,4,33,19,28,10,29,49,20
2016/06/30,3,48,18,29,16,31,64,17
2016/07/01,0,35,17,29,9,25,92,20
2016/07/02,1,14,6,13,4,14,23,8
2016/07/03,0,14,4,12,2,10,22,9
2016/07/04,4,46,20,24,12,30,47,23
2016/07/05,3,49,26,34,10,29,58,18
2016/07/06,4,26,15,21,10,23,69,19
2016/07/07,1,30,22,27,12,40,64,15
2016/07/08,3,30,13,28,6,27,60,17
2016/07/09,0,14,5,16,3,19,41,1
2016/07/10,0,16,7,13,1,22,26,7
2016/07/11,1,19,20,19,10,30,50,14
2016/07/12,3,36,16,33,12,35,59,21
2016/07/13,1,34,15,30,16,27,54,19
2016/07/14,2,38,17,26,13,33,41,21
2016/07/15,2,47,14,33,7,34,40,13
2016/07/16,0,18,8,18,4,15,41,7
2016/07/17,2,13,3,16,5,15,30,9
2016/07/18,1,27,23,27,5,26,43,3
2016/07/19,1,42,19,33,17,35,56,12
2016/07/20,1,45,22,20,8,27,44,14
2016/07/21,0,30,12,27,11,44,45,21
2016/07/22,2,33,20,35,12,42,49,13
2016/07/23,0,15,5,14,3,18,28,8
2016/07/24,1,17,9,12,4,15,21,4
2016/07/25,4,45,22,28,11,45,43,11
2016/07/26,4,26,14,17,3,32,35,17
2016/07/27,2,41,24,27,8,36,49,12
2016/07/28,3,36,20,24,9,30,44,17
2016/07/29,1,53,21,28,9,41,43,13
2016/07/30,4,11,9,12,4,18,30,9
2016/07/31,0,14,7,13,4,18,21,6
2016/08/01,2,39,11,21,3,35,43,12
2016/08/02,7,51,13,28,7,44,45,15
